#
 0,          smart_40_low_dim,  0.52,  0.11,   *      --         |                   ,  0.49,  0.50,  0.52,  0.61,  0.64
 0,           dumb_50_low_dim,  0.52,  0.05,   * --              |                   ,  0.49,  0.50,  0.52,  0.55,  0.57
#
 1,           dumb_40_low_dim,  0.54,  0.05,     *--             |                   ,  0.49,  0.50,  0.54,  0.55,  0.59
 1,           dumb_30_low_dim,  0.55,  0.01, ----*-              |                   ,  0.50,  0.54,  0.55,  0.55,  0.57
 1,          smart_50_low_dim,  0.56,  0.14,      *              |                   ,  0.49,  0.49,  0.56,  0.63,  0.63
 1,           dumb_20_low_dim,  0.57,  0.10,      *  ---         |                   ,  0.50,  0.50,  0.57,  0.59,  0.64
#
 2,          smart_30_low_dim,  0.63,  0.07,   ---      *        |                   ,  0.52,  0.57,  0.63,  0.63,  0.66
 2,          smart_20_low_dim,  0.64,  0.07, -----      *--      |                   ,  0.49,  0.57,  0.64,  0.64,  0.68
#
 3,                  asIs,196,  0.75,  0.12,          --------   *      -----------  ,  0.61,  0.72,  0.75,  0.84,  0.99
