#
 0,          dumb_50_high_dim,  0.29,  0.10,  *   -------        |                   ,  0.25,  0.25,  0.29,  0.35,  0.49
 0,         smart_50_high_dim,  0.29,  0.12,   *   -------       |                   ,  0.25,  0.25,  0.29,  0.37,  0.50
#
 1,          dumb_30_high_dim,  0.34,  0.19, --  *       -       |                   ,  0.25,  0.29,  0.34,  0.48,  0.50
 1,          dumb_20_high_dim,  0.35,  0.21, --   *       -      |                   ,  0.25,  0.29,  0.35,  0.50,  0.52
 1,         smart_40_high_dim,  0.37,  0.19, --    *     -       |                   ,  0.25,  0.30,  0.37,  0.49,  0.50
 1,          dumb_40_high_dim,  0.41,  0.21, -       *           |                   ,  0.25,  0.29,  0.41,  0.50,  0.50
#
 2,         smart_30_high_dim,  0.47,  0.15,   ---      *        |                   ,  0.30,  0.35,  0.47,  0.50,  0.50
 2,         smart_20_high_dim,  0.50,  0.20, --           *--    |                   ,  0.25,  0.30,  0.50,  0.50,  0.55
#
 3,                 asIs,1000,  0.75,  0.19,              -------|-----*         --- ,  0.50,  0.75,  0.75,  0.94,  1.00
