#
 0,          smart_40_low_dim,  0.25,  0.07, *  ----------       |                   ,  0.25,  0.25,  0.25,  0.32,  0.50
 0,           dumb_50_low_dim,  0.25,  0.11, *    --------       |                   ,  0.25,  0.25,  0.25,  0.36,  0.50
 0,          smart_50_low_dim,  0.25,  0.25, *                   |                   ,  0.25,  0.25,  0.25,  0.50,  0.50
#
 1,          smart_30_low_dim,  0.32,  0.16,    *    -----       |                   ,  0.25,  0.25,  0.32,  0.41,  0.50
 1,           dumb_40_low_dim,  0.41,  0.20,         * ---       |                   ,  0.25,  0.25,  0.41,  0.45,  0.50
#
 2,          smart_20_low_dim,  0.45,  0.18, ---       *         |                   ,  0.25,  0.32,  0.45,  0.50,  0.50
 2,           dumb_20_low_dim,  0.47,  0.09, --------   *        |                   ,  0.25,  0.41,  0.47,  0.50,  0.50
 2,           dumb_30_low_dim,  0.50,  0.25,              *      |                   ,  0.25,  0.25,  0.50,  0.50,  0.50
#
 3,                  asIs,398,  0.75,  0.16,              -----  |     *------------ ,  0.50,  0.59,  0.75,  0.75,  1.00
