#
 0,         smart_50_high_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         smart_40_high_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,          dumb_40_high_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         smart_30_high_dim,  0.00,  0.00, *---                |                   ,  0.00,  0.00,  0.00,  0.00,  0.02
 0,         smart_20_high_dim,  0.00,  0.00, *-                  |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,          dumb_50_high_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,          dumb_30_high_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,          dumb_20_high_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
#
 1,                 asIs,3840,  0.15,  0.04, --------------------|-      *-          ,  0.01,  0.12,  0.15,  0.16,  0.16
