#
 0,         smart_50_high_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.00
 0,         smart_40_high_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.00,  0.01
 0,         smart_30_high_dim,  0.00,  0.00, *                   |                   ,  0.00,  0.00,  0.00,  0.01,  0.01
 0,          dumb_50_high_dim,  0.01,  0.00, *                   |                   ,  0.00,  0.00,  0.01,  0.01,  0.01
 0,         smart_20_high_dim,  0.01,  0.00, *                   |                   ,  0.00,  0.00,  0.01,  0.01,  0.01
 0,          dumb_30_high_dim,  0.01,  0.00, *                   |                   ,  0.00,  0.01,  0.01,  0.01,  0.01
 0,          dumb_40_high_dim,  0.01,  0.00, *                   |                   ,  0.00,  0.01,  0.01,  0.01,  0.02
 0,          dumb_20_high_dim,  0.01,  0.00, *                   |                   ,  0.00,  0.01,  0.01,  0.01,  0.02
#
 1,                  asIs,864,  0.18,  0.27, ------ *         ---|------------------ ,  0.02,  0.16,  0.18,  0.43,  0.98
