#
 0,         smart_40_high_dim,  0.11,  0.03,    *-               |                   ,  0.09,  0.11,  0.11,  0.14,  0.17
 0,          dumb_50_high_dim,  0.12,  0.07,  - * ---            |                   ,  0.07,  0.09,  0.12,  0.16,  0.23
 0,         smart_50_high_dim,  0.12,  0.05,  - *---             |                   ,  0.08,  0.10,  0.12,  0.15,  0.21
#
 1,          dumb_40_high_dim,  0.14,  0.08,  -  *--             |                   ,  0.08,  0.09,  0.14,  0.17,  0.21
 1,         smart_30_high_dim,  0.14,  0.04,     *----           |                   ,  0.11,  0.13,  0.14,  0.17,  0.27
 1,          dumb_30_high_dim,  0.15,  0.07,    -*  --           |                   ,  0.12,  0.13,  0.15,  0.21,  0.26
#
 2,         smart_20_high_dim,  0.16,  0.09,      * --           |                   ,  0.11,  0.13,  0.16,  0.22,  0.26
#
 3,          dumb_20_high_dim,  0.23,  0.06,   ----  *----       |                   ,  0.10,  0.19,  0.23,  0.25,  0.34
#
 4,                asIs,20000,  0.50,  0.18,          ------     *  ----             ,  0.25,  0.39,  0.50,  0.57,  0.68
